	ID	Created_at	Text	Location
0	1591208861976956928	2022-11-11 23:18:50+00:00	"b""@NEU_CourseRepo Hello! Do you also do '21 din mein paisa double?'\n\n#neucourserepo"""	
1	1591208662550605824	2022-11-11 23:18:03+00:00	b'@NEU_CourseRepo Wow! Looks like such a Great course? Do you allow registrations from ITUS Univeristy?\xe2\x80\xa6 https://t.co/kXY5SjAXBO'	
2	1590471122721464320	2022-11-09 22:27:19+00:00	b'@NEU_CourseRepo Are there any career events currently arranged by NEU? \n\n#neucourserepo #careers'	
3	1590003981656678401	2022-11-08 15:31:04+00:00	b'MS IS Bridge is offered in \n\n1] Boston\n2] Arlington, VA \n3] Seattle, WA \n4] Silicon Valley, CA\n\n#neucourserepo #MSIS #Masters'	
4	1590003507863904256	2022-11-08 15:29:11+00:00	b'We can apply to join the Masters of Science in Information Systems program, Data Analytics Engineering program, and\xe2\x80\xa6 https://t.co/oeneFY3vob'	
5	1590001733564256257	2022-11-08 15:22:08+00:00	b'The MS in IS/IS Bridge programs offer a variety of classes, across a variety of times and formats. \n\nClasses are of\xe2\x80\xa6 https://t.co/Cmn6FQBkPR'	
6	1589999517554053120	2022-11-08 15:13:20+00:00	b'What grade is considered \xe2\x80\x9cpassing\xe2\x80\x9d for the two IS Bridge prep courses to move on to the full MS in IS program?\nA gr\xe2\x80\xa6 https://t.co/WO4ogZpN9A'	
7	1589887366902448130	2022-11-08 07:47:41+00:00	b'College of Engineering Programs\n\nMasters of Science in Information Systems\nData Analytics Engineering\nSoftware Syst\xe2\x80\xa6 https://t.co/0w8hUwgkLk'	
8	1589882441787142145	2022-11-08 07:28:07+00:00	"b""College of Engineering\nInformation Systems\n\nMore Program Options\nMaster's : Seattle\nMaster's : Silicon Valley\nMaste\xe2\x80\xa6 https://t.co/BWhA8XK47D"""	
9	1589880109498257408	2022-11-08 07:18:51+00:00	b'An Intro to Git and GitHub for Beginners (Tutorial) \n\nhttps://t.co/KkJ6hBvj1d\nhttps://t.co/OLIdjO2Gzk\xe2\x80\xa6 https://t.co/JXT7NclpqS'	
10	1589878683803996160	2022-11-08 07:13:11+00:00	b'The Masters in Information Systems offers a wide range of courses that reflect current and future industry trends:\xe2\x80\xa6 https://t.co/wSQl2jx4xk'	
11	1589877276333613056	2022-11-08 07:07:35+00:00	b'best-rated youtube video to learn about database management basics and SQL.\n\nhttps://t.co/xMGKqisxJU\n\n#neucourserepo #SQL'	
12	1589875312145620992	2022-11-08 06:59:47+00:00	b'After completing graduation from Northeastern University in Information Systems students work at:\n\nGE Aviation \nRay\xe2\x80\xa6 https://t.co/AzFot4IxFZ'	
13	1589873626710306816	2022-11-08 06:53:05+00:00	b'Gregory D. Abowd joined Northeastern University as Dean of the College of Engineering \n\n#neucourserepo #professor #northeasternUniversity'	
14	1589873249357156352	2022-11-08 06:51:35+00:00	b'Co-op Coordinator at the College of Engineering at Northeastern University\n\nGAIL SCHWARTZ\ng.schwartz@northeastern.e\xe2\x80\xa6 https://t.co/O9Whh4Flxt'	
15	1589869756521537537	2022-11-08 06:37:42+00:00	b'RT @NEU_CourseDB: Free resources available for learning SQL:\n\nKhan Academy\nSQLZoo\nCodecademy\nSQLBolt\nUdacity\n\n#neucourserepo #MSIS #coding'	Coding World!
16	1589869281688240128	2022-11-08 06:35:49+00:00	b'Free resources available for learning SQL:\n\nKhan Academy\nSQLZoo\nCodecademy\nSQLBolt\nUdacity\n\n#neucourserepo #MSIS #coding'	
17	1589865302216802304	2022-11-08 06:20:00+00:00	b'College of Engineering\nInformation Systems at Northeastern University\n\nFaculty \nKhaled Bugrara - kmb@coe.neu.edu\nNi\xe2\x80\xa6 https://t.co/TOJjMMRVmE'	
18	1589858129625636866	2022-11-08 05:51:30+00:00	b'Data Analytics Engineering, MS\n\nLocation - Boston\nCommitment - Full-Time/Part Time\nDuration of program - 2 years\nMe\xe2\x80\xa6 https://t.co/SudTjK0GMw'	
19	1589854114439376896	2022-11-08 05:35:33+00:00	b'Masters of Science in Information Systems at Northeastern University\n\nElectives can be selected from the following\xe2\x80\xa6 https://t.co/gOHI3lrswx'	
20	1589853502423334913	2022-11-08 05:33:07+00:00	b'Masters of Science in Information Systems at Northeastern University\n\nProgram Credit/GPA Requirements:\n32 total sem\xe2\x80\xa6 https://t.co/mFSo0zjKUz'	
21	1589853130925441024	2022-11-08 05:31:39+00:00	b'Masters of Science in Information Systems at Northeastern University\n\nConcentration/Specialization Available:\n 1] B\xe2\x80\xa6 https://t.co/E2FdVhavHj'	
22	1589852357160226816	2022-11-08 05:28:34+00:00	b'Masters of Science in Information Systems at Northeastern University\n\nCore Course Requirement:\nINFO 5100 Applicatio\xe2\x80\xa6 https://t.co/pvlLZOhONu'	
23	1589681412441243652	2022-11-07 18:09:18+00:00	b'Masters of Science in Software Engineering Systems in Northeastern University\n\nCore Course Requirement:  \nCSYE 6200\xe2\x80\xa6 https://t.co/9b46iBl9is'	
